run_id,timestamp,cpu_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes,disk_io_read_ops,disk_io_write_ops
run_01,1749976240.8052135,0.0,1.5,0,0,0,0
run_01,1749976241.3078985,26.4,1.5,0,0,0,0
run_01,1749976241.8100626,3.2,1.5,0,0,0,0
run_01,1749976242.3122034,3.5,1.5,0,0,0,0
run_01,1749976242.814036,3.0,1.5,0,0,0,0
run_01,1749976243.3160868,3.3,1.6,0,0,0,0
run_01,1749976243.8180318,2.4,1.6,0,0,0,0
run_01,1749976244.3197498,2.6,1.6,0,40960,0,2
run_01,1749976244.8217099,3.2,1.6,0,0,0,0
run_01,1749976245.3236935,3.2,1.6,0,0,0,0
run_01,1749976245.8255284,3.2,1.6,0,212992,0,50
run_01,1749976246.3274047,3.5,1.6,0,0,0,0
run_01,1749976246.8294837,3.5,1.6,0,0,0,0
run_01,1749976247.331473,8.8,1.8,0,0,0,0
run_01,1749976247.8335671,11.0,2.1,0,0,0,0
run_01,1749976248.3355587,34.0,2.2,0,0,0,0
run_01,1749976248.8376932,13.2,2.2,0,0,0,0
run_01,1749976249.3399527,13.3,2.2,0,364544,0,4
run_01,1749976249.8420641,56.8,2.2,0,0,0,0
run_01,1749976250.3445632,100.0,2.2,0,0,0,0
run_01,1749976250.8464704,69.4,2.2,0,76816384,0,832
run_01,1749976251.347754,1.8,1.6,0,8466432,0,94
run_02,1749976270.4182599,1.2,1.5,0,0,0,0
run_02,1749976270.9201927,26.5,1.5,0,0,0,0
run_02,1749976271.42217,3.0,1.5,0,12288,0,2
run_02,1749976271.9241638,3.3,1.5,0,0,0,0
run_02,1749976272.4263372,3.3,1.5,0,212992,0,2
run_03,1749976291.2329886,0.6,1.5,0,0,0,0
run_03,1749976291.734771,26.4,1.5,0,0,0,0
run_03,1749976292.2370608,3.1,1.5,0,0,0,0
run_03,1749976292.7392468,3.3,1.5,0,0,0,0
run_04,1749976311.5548368,0.6,1.5,0,0,0,0
run_04,1749976312.0569756,26.2,1.5,0,0,0,0
run_04,1749976312.5589392,3.1,1.5,0,0,0,0
run_04,1749976313.0607615,3.2,1.5,0,0,0,0
run_04,1749976313.562561,2.9,1.5,0,0,0,0
run_04,1749976314.0642169,3.4,1.6,0,0,0,0
run_04,1749976314.566074,3.6,1.5,0,0,0,0
run_04,1749976315.068196,3.7,1.5,0,40960,0,2
run_04,1749976315.5702329,2.9,1.6,0,0,0,0
run_04,1749976316.0721402,3.5,1.6,0,0,0,0
run_04,1749976316.5741796,3.1,1.6,0,0,0,0
run_04,1749976317.0760179,3.5,1.6,0,0,0,0
run_04,1749976317.5777729,3.7,1.6,0,0,0,0
run_04,1749976318.079551,6.3,1.7,0,0,0,0
run_04,1749976318.5822973,10.0,2.0,0,0,0,0
run_04,1749976319.0844426,32.8,2.1,0,0,0,0
run_04,1749976319.586435,12.3,2.2,0,0,0,0
run_04,1749976320.0883963,13.9,2.2,0,405504,0,5
run_04,1749976320.5897272,46.5,2.2,0,4546560,0,52
run_04,1749976321.0921044,97.8,2.2,0,0,0,0
run_04,1749976321.5947158,81.7,2.2,0,0,0,0
run_04,1749976322.0959218,1.3,1.6,0,0,0,0
run_04,1749976322.5973775,2.9,1.6,0,225280,0,3
run_05,1749976341.6430638,0.5,1.5,0,0,0,0
run_05,1749976342.145322,26.3,1.5,0,0,0,0
run_05,1749976342.6475399,3.6,1.5,0,0,0,0
run_05,1749976343.149765,3.0,1.5,0,0,0,0
run_05,1749976343.65146,3.2,1.5,0,217088,0,2
